Date,PM25,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,WD,SR,RH,AT
01-04-2020 00:00,34.87,32.87,0.57,55.74,56.3,NaN,8.7,0.62,49.71,243.4,283.59,49.15,30.12
02-04-2020 00:00,34.53,34.86,0.74,67.15,67.88,NaN,6.62,0.6,44.12,200.11,274.69,52.23,30.57
03-04-2020 00:00,34.54,33.09,0.75,66.37,67.13,NaN,6.27,0.56,42.31,180.07,271.96,58.17,30.19
04-04-2020 00:00,24.82,25.99,0.77,66.75,67.52,NaN,6.12,0.56,42.06,203.44,279.72,54.31,30.49
05-04-2020 00:00,22.93,25.48,0.73,63.24,63.96,NaN,6.03,0.56,31.91,180.07,225.03,65.9,29.25
06-04-2020 00:00,22.41,24.4,0.7,61.16,61.86,NaN,6.39,0.57,40.59,110.9,246.62,65.25,29.55
07-04-2020 00:00,14.61,15.75,0.71,62.35,63.06,NaN,5.94,0.52,21.31,96.18,144.17,83.62,25.63
08-04-2020 00:00,20.74,22.03,0.64,59.16,59.8,NaN,6.14,0.57,23.19,111.61,267.02,72.03,27.6
09-04-2020 00:00,21.08,22.51,0.77,62.06,62.8,2.08,6.3,0.52,22.26,121.85,271.26,67.88,28.59
10-04-2020 00:00,10.43,11.77,0.83,66.27,67.1,NaN,5.77,0.54,32.53,220.02,229.41,59.36,28.02
11-04-2020 00:00,18.37,20.02,0.79,64.68,65.47,NaN,6.46,0.58,22.06,244.13,264.17,56.22,29.61
12-04-2020 00:00,30.24,95.42,0.95,72.62,73.54,NaN,6.12,0.62,22.77,244.13,270.9,53.7,29.95
13-04-2020 00:00,32.97,36.29,1.06,77.73,78.78,NaN,6.32,0.65,23.41,201.68,282.89,53.57,30.17
14-04-2020 00:00,32.03,33.73,1.07,78,79.08,NaN,6.49,0.63,23.63,197.29,282.04,52.71,30.58
15-04-2020 00:00,21.32,22.56,0.97,73.1,74.08,NaN,6.08,0.6,19.83,177.25,258.92,59.91,30.32
16-04-2020 00:00,24.41,26.4,1.02,75.73,76.74,NaN,6.07,0.64,20.09,147.85,265.78,64.07,30.22
17-04-2020 00:00,28.46,31.05,1.03,75.59,76.63,NaN,6.01,0.65,20.94,140.34,245.98,63.76,30.47
18-04-2020 00:00,26.81,28.97,1,73.68,74.69,NaN,6.15,0.66,19.47,132.91,224.5,64.95,30.37
19-04-2020 00:00,23.08,24.26,1.08,78.18,79.24,NaN,6.76,0.68,19.78,185.72,211.08,60.92,30.63
20-04-2020 00:00,18.75,20.88,0.93,69.78,70.72,NaN,6.81,0.68,16.94,237.77,250.85,59.06,30.75
21-04-2020 00:00,17.91,20.58,1.03,74.06,75.08,NaN,6.98,0.69,17.42,192.75,255.19,63.37,30.71
22-04-2020 00:00,21.6,25.28,0.94,70.46,71.42,NaN,7.26,0.7,20.01,109.98,262.63,66.2,29.94
23-04-2020 00:00,18.48,21.91,0.86,67.09,67.94,NaN,7.07,0.73,22.19,109.52,252.61,68.21,29.91
24-04-2020 00:00,25.14,28.3,0.93,70.74,71.65,NaN,6.34,0.77,19.29,101.49,215.04,70.8,29.99
25-04-2020 00:00,23.61,27.38,0.74,47.49,48.22,1.6,6.46,0.75,23.27,74.25,244.66,65.83,29.78
26-04-2020 00:00,23.89,31.17,0.91,40.85,41.8,6.73,6.4,0.84,23.46,184.21,187.14,64.16,28.62
27-04-2020 00:00,21.58,25.37,0.69,27.41,28.09,NaN,6.28,0.85,23.96,118.36,292.81,69.64,29.2
28-04-2020 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29-04-2020 00:00,2.82,NaN,1.52,49.49,50.61,15.9,6.06,1.48,27.97,144.3,239.45,70.88,29.39
30-04-2020 00:00,19.7,21.11,0.72,32.59,33.3,NaN,5.94,1.53,18.11,111.84,280.38,68.76,28.78
01-05-2020 00:00,19.77,22.85,0.81,39.08,39.88,NaN,6.44,1.48,18.92,105.48,262.04,69.86,28.98
02-05-2020 00:00,25.11,28.63,0.8,37.07,37.88,1.82,6.35,1.46,17.05,85.46,245.54,76.36,29.08
03-05-2020 00:00,25.13,26.07,0.9,41.63,42.52,NaN,6.32,1.49,20.28,120.25,251.2,75.69,30.1
04-05-2020 00:00,29.01,31.9,0.93,43.25,44.17,NaN,6.09,1.53,20.66,109.38,248.5,78.77,30.33
05-05-2020 00:00,30.92,34.45,0.95,44.15,45.07,NaN,6.06,1.48,23.06,141.41,233.18,78.25,30.26
06-05-2020 00:00,23.43,26.12,0.73,33.78,34.48,NaN,6.14,1.41,27.45,100.59,269.25,77.23,29.53
07-05-2020 00:00,23.76,29.61,0.86,39.25,40.09,NaN,6.24,1.4,22.3,93.88,251.28,80.8,29.24
08-05-2020 00:00,25.97,30.22,0.98,44.52,45.47,NaN,6.49,1.42,18.89,113.29,209.1,84.98,28.99
09-05-2020 00:00,28.98,35.5,0.98,34.43,39.17,9.65,6.33,0.9,21.74,157.32,219.95,74.16,30.61
10-05-2020 00:00,23.75,28.32,NaN,7.41,6.72,12,6.22,0.08,16.62,177.29,259.65,68.49,31.49
11-05-2020 00:00,32.42,40.51,NaN,NaN,NaN,18.7,5.84,0.07,13.95,206.97,316.92,69.74,30.7
12-05-2020 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-05-2020 00:00,4.29,7.94,NaN,10.02,0.27,12.27,6.32,0.66,26.27,118.69,269.77,42.78,32.12
14-05-2020 00:00,18.75,25.24,NaN,21.72,9.1,4.65,5.85,0.89,23.5,145.24,251.04,70.95,30.23
15-05-2020 00:00,27.11,36.87,NaN,22.79,12.98,7.03,5.86,0.84,21.65,77.06,247.15,68.75,29.05
16-05-2020 00:00,20.27,25.23,NaN,15.24,7.87,6.45,5.69,0.87,24.9,74.56,192.92,79.34,27.97
17-05-2020 00:00,18.02,32.43,NaN,23.67,14.7,8.74,5.87,0.88,23.87,90.2,212.44,78.9,27.38
18-05-2020 00:00,17.67,20.94,NaN,16.66,12.32,9.28,6.04,0.96,27.19,75.54,137.73,82.21,24.99
19-05-2020 00:00,30.53,38.93,NaN,8.09,3.4,11.95,5.95,0.95,17,72.08,221.04,77.77,27.31
20-05-2020 00:00,25.06,36.68,NaN,22.51,30.33,8.07,5.85,0.91,18.18,70.26,260.28,72.04,28.25
21-05-2020 00:00,13.83,21.09,NaN,54.87,43.38,NaN,5.36,0.81,13.76,72.6,313.4,72.44,28.08
22-05-2020 00:00,6.93,11.46,NaN,36.62,24.99,4.55,7.23,1.09,19.42,68.47,305.5,39.22,30.4
23-05-2020 00:00,21.08,39.45,NaN,47.45,35.9,0.23,6.61,0.95,15.53,66.65,233.31,37.67,29.25
24-05-2020 00:00,20.78,31.59,NaN,44.19,32.59,NaN,6.64,0.88,14.87,72.63,261.34,37.69,29.69
25-05-2020 00:00,24.99,36.95,NaN,48.19,36.62,0.79,6.87,0.89,17.48,75.29,263.81,31.15,29.85
26-05-2020 00:00,24.67,40.18,NaN,51.09,39.53,1.42,6.73,0.9,16.71,72.22,262.57,65.52,29.92
27-05-2020 00:00,30.19,45.97,NaN,54.22,42.73,NaN,6.44,0.94,15.51,77.41,200.34,79.04,29.06
28-05-2020 00:00,25.57,39.06,NaN,48.29,36.92,4.7,5.77,0.92,18.25,100.04,258.69,77.91,28.19
29-05-2020 00:00,17.19,25.24,NaN,53.52,44.47,NaN,5.67,0.97,20.55,76.42,209,78.32,26.57
30-05-2020 00:00,24.03,27.48,NaN,57.65,52.47,NaN,5.7,1.04,16.5,84.7,193.81,79.79,27.46
31-05-2020 00:00,11.72,15.13,NaN,50.13,44.82,NaN,5.32,0.97,18.1,82.39,266.83,66.98,28.72
01-06-2020 00:00,13.76,19.72,NaN,44.87,39.51,NaN,5.61,0.99,20.33,84.43,223.24,67.13,28.49
02-06-2020 00:00,12.5,27.64,NaN,44.34,38.93,NaN,5.43,0.99,17.82,83.87,193.43,71.46,27.04
03-06-2020 00:00,13.53,23.99,NaN,36.74,31.23,0.29,5.51,1.01,15.84,80.19,244.73,73.92,27.14
04-06-2020 00:00,10.95,16.54,NaN,36.35,30.91,1.52,5.6,1,13.17,79.27,233.5,72.89,27.67
05-06-2020 00:00,10.41,16.88,NaN,39.8,34.5,0.87,5.65,1.01,13.03,73.51,267.21,78.76,26.98
06-06-2020 00:00,12.67,19.07,NaN,36.77,32.13,1.33,5.8,1.02,14.33,74.45,245.21,81.26,26.45
07-06-2020 00:00,11.67,15.83,NaN,35.35,29.85,NaN,5.57,1.06,17.06,70.2,220.56,81.59,25.78
08-06-2020 00:00,19.34,36.47,NaN,40.99,33.07,3.45,6.43,0.77,20.54,69.19,231.74,78.65,26.45
09-06-2020 00:00,18.22,26.93,NaN,46.64,28.27,1.64,6.72,0.42,12.77,71.93,259.07,80.29,27.33
10-06-2020 00:00,19.1,26.74,NaN,47.15,28.83,1.85,6.1,0.43,11.16,69.69,198.76,82.45,26.58
11-06-2020 00:00,15.17,26.68,NaN,39.24,20.98,1.45,6.81,0.45,12.29,69.89,171.18,84.91,25.31
12-06-2020 00:00,13.25,20.12,NaN,46.41,28.27,1.24,6.8,0.49,12.42,69.23,158.82,86.52,24.49
13-06-2020 00:00,13.28,21.6,NaN,42.62,24.92,1.81,6.62,0.49,11.18,70.68,229.62,84.24,25.24
14-06-2020 00:00,10.05,12.71,NaN,33.43,15.24,1.49,6.31,0.49,11.6,71.2,204.38,82.2,25.2
15-06-2020 00:00,17.38,24.38,NaN,39.18,22.11,2.46,6.2,0.51,11.63,72.1,205.94,82.25,26.11
16-06-2020 00:00,13.86,20,NaN,39.71,21.57,1.87,5.68,0.51,13.08,69.37,207.05,82.47,25.75
