Date,PM2.5,NO,NO2,NOx,SO2,CO,Ozone,WD,SR,Temp,RH
01-01-2021,45.75,0.83,3.44,2.49,4.83,1.43,1.63,163.28,122.99,28.97,NaN
02-01-2021,48.51,1,6.35,4.19,4.77,2.96,0.91,231.79,42.2,28.76,NaN
03-01-2021,35.51,0.93,4.21,2.99,3.85,NaN,1.33,162.26,59.02,28.68,NaN
04-01-2021,20.24,1.07,5.48,3.8,2.46,2.79,1.5,178.46,92.53,28.72,NaN
05-01-2021,10.54,1.37,7.62,5.17,3.09,0.79,3.4,212.1,17.7,28.87,NaN
06-01-2021,8.79,2.15,6.09,4.99,2.1,0.18,3.05,203.7,92.04,28.74,NaN
07-01-2021,15.93,2.27,7.99,6.11,6.12,0.09,3.04,239.69,86.22,28.76,NaN
08-01-2021,17.14,4.09,8.08,7.62,7.21,0.75,2.7,224,84.94,28.82,NaN
09-01-2021,21.54,2.9,8.94,7.1,6.56,0.82,2.63,217.89,108.02,28.92,NaN
10-01-2021,40.29,1.65,6.97,5.06,5.41,1.79,4.49,220.83,113.06,28.93,NaN
11-01-2021,34.34,1.33,5.48,4,6.41,2.82,2.88,220.43,116.4,28.96,NaN
12-01-2021,33.43,1.27,5.61,4.02,4.5,3.35,1.97,190.62,118.98,28.95,NaN
13-01-2021,82.32,1.63,8.5,5.84,6.14,NaN,2.53,246.29,119.05,28.93,NaN
14-01-2021,56.54,1.15,4.6,3.38,5.02,1.81,2.35,187.61,124.08,29.04,NaN
15-01-2021,54.89,1.05,3.69,2.79,5.83,1.97,1.9,169.27,138.75,28.99,NaN
16-01-2021,44.92,0.97,5.06,3.49,5.36,0.35,1.33,186.13,144.89,28.99,NaN
17-01-2021,30.42,3.12,6.05,5.75,3.8,0.53,2.56,161.96,141.73,28.98,NaN
18-01-2021,32.17,1.79,6.3,4.81,3.71,0.72,4.17,195.48,142.66,28.98,NaN
19-01-2021,43.65,1.07,4.79,3.41,3.31,1.09,4.23,180.82,140.32,28.72,NaN
20-01-2021,59.8,1.23,8.69,5.63,14.41,0.31,1.04,238.07,82.5,28.15,NaN
21-01-2021,46.02,1.84,6.89,5.17,4.49,2.23,2.26,190.84,140.4,28.36,NaN
22-01-2021,17.39,2.7,4.44,4.56,3.37,1.26,3.1,226.34,134.75,28.77,NaN
23-01-2021,22.02,1.7,4.72,3.89,3.31,2.24,2.77,NaN,135.23,28.6,NaN
24-01-2021,38.85,3.58,6.98,6.64,4.31,1.95,2.1,10,124.65,28.48,NaN
25-01-2021,34.35,3.17,6.52,6.04,4.54,0.11,2.8,82,148.28,28.4,NaN
26-01-2021,39.69,1.17,6.35,4.34,4.95,3.53,6.28,293.75,150.29,28.47,NaN
27-01-2021,60.28,1.66,6.94,5.04,3.26,NaN,21.59,46,139.95,28.5,NaN
28-01-2021,80.25,1.74,8.58,5.99,7.53,NaN,12.5,276.94,124.5,28.48,NaN
29-01-2021,69.1,0.79,3.29,2.4,3.68,NaN,10.07,181.02,142.97,28.46,NaN
30-01-2021,57.33,0.91,4.51,3.13,4.1,1.34,5.61,202.72,149.29,28.49,NaN
31-01-2021,36.22,0.93,3.64,2.69,4.64,NaN,2.03,227.01,151.07,28.57,NaN
01-02-2021,28.48,1.33,4.04,3.23,3.66,3.53,2.48,304,154.46,28.61,NaN
02-02-2021,58.51,0.87,3.68,2.67,3.93,NaN,4.83,229,138.83,28.38,NaN
03-02-2021,39.46,0.72,3.87,2.64,3.67,NaN,NaN,NaN,130.79,28.4,NaN
04-02-2021,40.64,1.57,6.28,4.62,5.39,NaN,15.52,NaN,141.12,28.41,NaN
05-02-2021,47.26,0.99,7.31,4.69,7.74,NaN,4.65,268,150,28.41,NaN
06-02-2021,44.53,1.28,7.74,5.16,5.86,NaN,3.14,264.33,150.95,28.69,NaN
07-02-2021,43.45,1.47,9.36,6.18,8.62,NaN,3.17,18,159.03,28.55,NaN
08-02-2021,33.41,1.08,2.32,4.01,3.33,NaN,10.8,NaN,153.48,28.6,NaN
09-02-2021,39.81,0.83,4.42,2.78,3.39,NaN,9.7,298,157.51,28.6,NaN
10-02-2021,42.74,0.87,4.93,3.31,4.22,NaN,16.2,274.88,161.75,28.46,NaN
11-02-2021,35.58,1.26,6.17,4.3,3.37,NaN,3.57,250.42,156.56,28.38,NaN
12-02-2021,28,1.6,6.47,4.74,4.79,NaN,3.89,224,154.51,28.37,NaN
13-02-2021,30.06,1.89,8.64,6.13,5.93,NaN,12.58,272.75,162.72,28.65,NaN
14-02-2021,25.17,2.23,6.39,5.21,9.58,NaN,31.09,185.77,174.17,28.45,NaN
15-02-2021,26.61,2.76,7.54,6.26,5.46,NaN,20.01,212.5,161.36,28.48,NaN
16-02-2021,35.98,3.68,7.35,6.9,5.7,NaN,11.83,232.37,164.19,28.48,NaN
17-02-2021,44.82,1.36,5.72,4.15,3.53,NaN,5.13,196.4,158.04,28.49,NaN
18-02-2021,45.65,0.86,3.28,2.44,4.34,NaN,1.14,172.81,157.19,28.69,NaN
19-02-2021,49.19,1.22,7.9,5.15,9,NaN,2.58,210.6,152.94,29.86,NaN
20-02-2021,4.5,1.22,3.77,2.99,6.34,NaN,5.82,160.23,159.08,28.34,NaN
21-02-2021,11.07,0.83,3.03,2.29,2.31,NaN,15.23,145.58,99.95,28.3,NaN
22-02-2021,18.36,1.04,4.44,3.21,3.22,NaN,8.83,162.85,162.83,28.38,NaN
23-02-2021,29.24,2.2,6.77,5.39,4.32,NaN,12.7,155.42,159.61,28.3,NaN
24-02-2021,38.36,3.07,8.13,6.82,3.49,NaN,23.04,183.64,165.54,27.88,NaN
25-02-2021,42.34,3.14,7.26,6.41,4.25,NaN,14.95,220.89,169.21,28.03,NaN
26-02-2021,33.46,1.43,6.84,4.8,3.13,NaN,41.57,212.08,165.24,28.2,NaN
27-02-2021,24.48,1.31,5.92,4.21,1.94,NaN,17.68,242.43,166.12,28.06,NaN
28-02-2021,15.66,1.61,4.53,3.72,2.23,NaN,21.03,236.87,156.65,27.31,NaN
01-03-2021,18.49,2.39,5.23,4.72,4.21,NaN,19.04,245.68,168.31,27.51,NaN
02-03-2021,28.29,1.28,5.18,3.8,2.23,NaN,16.12,244.67,160.83,27.59,NaN
03-03-2021,44.2,2.14,7.64,5.8,3.04,NaN,34.09,234.16,166.79,27.67,NaN
04-03-2021,35.1,2.54,6.32,5.44,2.94,NaN,57.39,216.2,174.81,27.6,NaN
05-03-2021,35.3,2.99,6.64,5.96,3.86,NaN,35.64,229.67,174.89,28.16,NaN
06-03-2021,33.9,3.09,6.43,5.94,4.04,NaN,15.71,253.86,175.61,27.89,NaN
07-03-2021,16.17,1.89,3.68,3.49,3.03,NaN,20.33,233.34,180.68,27.44,NaN
08-03-2021,8.2,2.07,3.18,3.36,2.24,NaN,29.1,179.04,175.43,27.84,NaN
09-03-2021,4.03,1.41,2.05,2.23,1.48,NaN,52.96,175.36,175.74,27.5,NaN
10-03-2021,5.36,1.28,1.9,2.06,1.18,NaN,21.94,218.22,178.84,27.47,NaN
11-03-2021,8.17,1.68,3.46,3.21,2.52,NaN,6.41,200.83,175.22,27.9,NaN
12-03-2021,13.85,2.69,4.76,4.73,4.9,NaN,11.32,216.77,183.95,27.32,NaN
13-03-2021,17.31,2.7,5.41,5.07,3.14,NaN,21.61,214.88,172.62,27.2,NaN
14-03-2021,14.41,2.28,4.86,4.44,3.14,NaN,12.37,231.5,176.8,27.28,NaN
15-03-2021,18.42,2.38,5.66,4.94,3.65,NaN,29.13,186.72,171.4,27.26,NaN
16-03-2021,20.21,2.45,5.53,4.94,4.27,NaN,58.81,194.66,167.32,27.53,NaN
17-03-2021,28.79,2.36,7.11,5.7,4.25,NaN,32.5,211.74,142.7,27.43,NaN
18-03-2021,36.76,2.17,6.61,5.28,2.76,NaN,9.21,198.17,159.15,27.94,NaN
19-03-2021,41.66,2.48,6.83,5.61,3.7,NaN,11.13,190.76,169.31,27.63,NaN
