Date,PM25,NO,NO2,NOx,SO2,CO,Ozone,RH,Temp,WD,SR
01-04-2020 00:00,32.21,8.27,1.17,8.19,8.73,0.73,16.57,67.52,NaN,154.94,283.76
02-04-2020 00:00,20.08,7.6,1.64,8.22,8.04,0.74,18.42,68.8,NaN,174.52,259.23
03-04-2020 00:00,12.82,7.58,1.83,8.43,7.37,0.73,16.27,67.83,NaN,159.07,250.1
04-04-2020 00:00,11.23,8.32,1.64,8.65,5.79,0.76,13.19,65.33,NaN,145.94,282.04
05-04-2020 00:00,16.1,7.69,1.47,8.18,2.54,0.76,10.89,71.29,NaN,152.4,260.81
06-04-2020 00:00,10.65,7.94,1.32,7.97,2.75,0.76,8.14,72.93,NaN,167.49,247.7
07-04-2020 00:00,6.44,8.12,1.45,8.23,3.83,0.74,8.24,72.68,NaN,178.06,203.24
08-04-2020 00:00,11.36,8.2,1.85,8.91,3.12,0.74,12.7,74.09,NaN,167.66,234.81
09-04-2020 00:00,5.14,8.29,1.56,8.61,2.77,0.76,10.59,75.93,NaN,175.46,168.12
10-04-2020 00:00,59.34,10.43,1.99,10.91,34.88,0.73,20.07,67.68,NaN,140.29,381.26
11-04-2020 00:00,7.82,9.99,1.17,9.3,34.55,0.76,8.02,68.06,NaN,151.37,274.85
12-04-2020 00:00,7.06,9.64,1.45,9.7,16.69,0.77,14.84,69.91,NaN,157.77,291.31
13-04-2020 00:00,9.37,9.2,2.18,10.69,17.22,0.75,17.16,68.98,NaN,169.31,302.77
14-04-2020 00:00,10.63,8.68,1.78,9.36,12.67,0.76,14.57,68.89,NaN,159.74,269.87
15-04-2020 00:00,9.56,8.81,1.65,9.31,8.62,0.74,14.59,66.9,NaN,167.83,287.85
16-04-2020 00:00,8.08,8.66,1.64,9.11,6.63,0.76,13.86,70.96,NaN,173.91,282.27
17-04-2020 00:00,6.24,8.08,1.51,8.55,6.58,0.76,14.63,70.62,NaN,171.66,251.94
18-04-2020 00:00,7.59,7.94,1.86,9.15,7.64,0.75,13.59,68.7,NaN,164.98,279.31
19-04-2020 00:00,3.79,8.2,1.3,8.25,5.62,0.76,14.51,69.36,NaN,153.93,281.78
20-04-2020 00:00,7.32,8.15,1.54,8.43,6.11,0.77,13.63,68.41,NaN,171,291.39
21-04-2020 00:00,3.11,8.47,1.41,8.91,6.13,0.76,16.69,65.24,NaN,168.88,294.35
22-04-2020 00:00,9.31,8.1,1.63,8.62,5.21,0.76,15.64,68.5,NaN,172.99,269.93
23-04-2020 00:00,5.56,7.92,1.54,8.11,5.99,0.77,14.91,74.23,NaN,171.37,277.98
24-04-2020 00:00,6.14,7.57,1.6,7.92,5.9,0.76,17.29,76.05,NaN,177.96,269
25-04-2020 00:00,4.98,7.69,1.96,8.64,3.18,0.77,19.81,72.75,NaN,176.23,236.64
26-04-2020 00:00,7.21,8.29,1.55,8.83,9.18,0.78,19.87,81.83,NaN,171.28,99.13
27-04-2020 00:00,6.99,8.7,1.49,9.06,5.9,0.76,16.97,77.16,NaN,178.01,221.61
28-04-2020 00:00,6.23,8.94,1.57,9.48,3.92,0.75,11.46,74.4,NaN,158.5,278.33
29-04-2020 00:00,8.58,8.16,1.91,9.25,5.19,0.76,29.65,62.48,NaN,213.09,253.78
30-04-2020 00:00,10.41,7.96,1.92,8.72,6.8,0.78,25.15,72.17,NaN,170.11,273.38
01-05-2020 00:00,13.42,8.26,1.82,9.14,4.43,0.79,31.43,69.43,NaN,178.53,266.72
02-05-2020 00:00,12.95,8.51,1.63,9.2,4.44,0.78,24.94,70.36,NaN,163.7,234.51
03-05-2020 00:00,8.92,7.91,1.64,8.33,6.28,0.75,22.98,69.51,NaN,166.08,269.51
04-05-2020 00:00,5.78,8.13,1.56,8.64,2.34,0.76,21.08,67.81,NaN,162.96,264.99
05-05-2020 00:00,6.48,8.39,1.66,9.31,3.75,0.76,20.93,67.84,NaN,161.94,254.03
06-05-2020 00:00,10.08,7.78,1.76,8.56,16.52,0.72,17.83,68.67,NaN,169.98,219.82
