Date,CO,NO,NO2,NOx,SO2,PM2.5,Ozone,WD,SR,T=86.13,R=1.25
01-01-2021,0.48,0.39,8.98,9.37,24.87,39.08,28.57,51.76,72.72,85.47,1.36
02-01-2021,0.54,0.51,15.15,15.66,24.73,37.73,20.98,87.63,26.32,82.78,1.33
03-01-2021,0.52,0.37,9.42,9.79,23.82,32.69,12.67,72.54,43.12,93.15,0.9
04-01-2021,0.59,1.09,10.91,12,24.81,42.69,14.29,58.93,68.59,92.27,0.93
05-01-2021,0.59,11.55,20.61,32.16,24.66,10.97,7.15,135.53,6.86,90.95,1.1
06-01-2021,0.54,8,11.69,19.68,23.86,5.4,6.8,94.95,52.05,90.79,1.06
07-01-2021,0.58,8.78,13,21.69,25.42,14.7,5.6,180.41,65.38,88.12,1.15
08-01-2021,0.6,11.44,10.8,22.24,25.02,52.11,5.84,85.1,70.54,85.93,1.31
09-01-2021,0.53,6.89,11.66,18.54,21.58,124.13,7.62,82.61,71,85.41,1.47
10-01-2021,0.51,3.62,11.35,14.96,22.23,121.85,10.27,55.39,83.19,85.47,1.59
11-01-2021,0.49,0.73,11.92,12.65,19.76,50.98,12.38,23.98,78.71,85.56,1.37
12-01-2021,0.5,0.61,13.1,13.71,22.46,29.6,10.03,23.85,68.97,84.39,1.45
13-01-2021,0.6,2.09,18.88,20.46,27.23,51.16,7.62,57.68,94.31,80.68,1.12
14-01-2021,0.52,0.21,8.48,8.39,20.53,38.77,15.26,45.8,73.75,79.75,1.09
15-01-2021,0.57,1.75,9.6,11.35,22.39,42.52,17.22,149.01,83.08,72.5,1.11
16-01-2021,0.49,1.83,8.78,10.61,21.2,31,14.59,118.4,89.03,72.31,1.18
17-01-2021,0.47,7.08,8.56,15.63,22.11,20.83,10.24,118.74,80.54,72.6,1.34
18-01-2021,0.51,6.39,10.04,16.42,25.23,25.53,10.27,120.02,74.74,81.29,1.19
19-01-2021,0.5,1.76,12.53,14.29,27.25,36.04,17.77,75.33,90.2,86.03,0.99
20-01-2021,0.54,0.91,15.96,16.86,28.45,45.72,9.46,69.1,94.06,83.68,0.97
21-01-2021,0.54,7.04,10.81,17.85,26.91,32.32,6.78,150.4,82.74,80.04,1.23
22-01-2021,0.52,6.43,8.44,14.87,25.88,17.07,3.49,117.58,93.7,70.73,1.37
23-01-2021,0.5,4.32,8.29,12.61,24.9,15.95,4.93,97.92,78.58,74.62,1.25
24-01-2021,0.5,1.84,10.94,12.79,25.42,31.16,10.55,88.84,125.95,72.59,1.36
25-01-2021,0.56,6.98,10.09,17.07,26.01,24.04,8.41,104.35,100.99,73.11,1.31
26-01-2021,0.5,5.24,10.1,15.33,26.39,26.27,11.64,96.68,100.79,75.4,1.54
27-01-2021,0.51,3.75,13.02,16.86,25.18,46.41,12.65,155.6,106.14,72.4,1.45
28-01-2021,0.59,4.08,11.51,15.59,26.89,54.32,18.77,130.71,88.58,75.75,1.43
29-01-2021,0.52,0.15,9.38,8.13,25.86,50.23,26.04,40.76,108.87,76.37,1.47
30-01-2021,0.56,2.47,9.18,9.35,24.87,44.4,23.9,61.31,105.5,71.84,1.63
31-01-2021,0.54,1.1,8.26,9.35,23.86,29.25,18.04,100.1,95.22,72.78,1.42
01-02-2021,0.49,2.22,11.97,13.78,25.33,22.68,18.18,79.95,111.53,65.6,1.5
02-02-2021,0.52,6.8,13.3,16.52,26.3,45.13,25.97,60.67,115.75,65.04,1.51
03-02-2021,0.47,0.5,12.72,12.23,25.51,30.6,31.23,40.35,122.83,64.31,1.65
04-02-2021,0.45,5.94,13.33,19.27,27.9,31.19,23.69,112.12,114.61,68.04,1.58
05-02-2021,0.45,3.66,15.29,18.95,32.44,35.19,26.37,62.35,110.46,68.4,1.71
06-02-2021,0.49,5.51,14.2,19.71,29.57,33.88,24.53,98.4,128.75,67.58,1.61
07-02-2021,0.54,6.25,18.31,24.57,37.18,34.82,18.42,144.46,115.85,58.35,1.62
08-02-2021,0.46,0.14,NaN,0.06,31.86,25.96,24.77,75.9,125.97,63.13,1.21
09-02-2021,0.52,0.01,0.02,0,30.52,32.51,35.83,44.13,130.73,64.16,1.17
10-02-2021,0.48,0.01,0.02,0,34.43,36.14,23.48,121.05,127.76,60.54,1.39
11-02-2021,0.5,0.01,0.02,0.01,32.61,71.68,17.46,144.75,127.28,69.39,1.41
12-02-2021,0.48,4.46,10.24,14.66,4.71,19.81,14.85,127.98,126.45,71.32,1.35
13-02-2021,0.53,4.44,10.23,14.7,6,22.86,14.88,159.33,135.25,73.08,1.37
14-02-2021,0.49,4.46,10.19,14.71,11.64,17.44,13.79,164.95,150.55,71.73,1.31
15-02-2021,0.54,4.45,10.25,14.7,7.22,18.33,10.33,150.39,128.01,71.75,1.22
16-02-2021,0.56,4.43,10.27,14.7,8.34,24.95,12.29,157.74,146.74,67.95,1.36
17-02-2021,0.57,4.4,10.21,14.7,5.58,41.2,18.92,87.06,145.41,77.16,1.54
18-02-2021,0.55,4.46,10.22,14.69,4.26,36.52,26.65,42.07,144.21,77.66,2
19-02-2021,0.47,4.47,10.24,14.63,6.97,32.99,25.89,112.75,154.23,75.71,1.73
20-02-2021,0.46,4.47,10.23,14.67,6.71,14.95,37.8,62.98,129.63,76.05,1.53
21-02-2021,0.59,4.44,10.2,14.67,4.66,7.53,29.1,45.92,90.49,76.73,1.29
22-02-2021,0.47,4.44,10.21,14.68,6.98,15.38,28.86,62.65,166.21,73.94,1.09
23-02-2021,0.6,4.42,10.25,14.68,11.53,21.37,30.23,118.31,153.75,73.87,1.27
24-02-2021,0.39,4.73,9.67,15.21,9.48,31.16,16.42,158.9,154.06,74.24,1.61
25-02-2021,0.42,2.71,6.61,11.14,4.85,25.91,22.49,162.94,170.79,72.97,2.04
26-02-2021,0.54,1.73,3.74,5.47,NaN,30.84,13.94,165.03,167.74,75.67,1.82
27-02-2021,0.54,1.73,3.74,5.47,NaN,27.38,9.06,173.48,174.82,72.47,1.84
28-02-2021,0.53,1.72,3.74,5.46,NaN,21.88,60.57,168.56,165.84,68.61,1.72
01-03-2021,0.51,3.15,7.28,10.4,8.7,19.58,21.15,166.05,166.06,66.49,1.37
02-03-2021,0.58,4.46,10.22,14.67,8.7,31.96,45.23,183.79,156.63,68.42,1.4
03-03-2021,0.57,4.46,10.24,14.68,8.7,42.87,9.24,144.06,214.4,67.96,1.35
04-03-2021,0.55,4.45,10.22,14.7,8.71,32.52,7.51,141.92,194.41,72.63,1.61
05-03-2021,0.58,4.46,10.22,14.7,8.7,28.91,6.43,168.51,176.68,72.83,1.9
06-03-2021,0.52,4.47,10.24,14.64,8.69,28.39,20.72,193.94,197.25,73.05,1.67
07-03-2021,0.44,4.44,10.2,14.67,8.73,32.34,13.85,159.36,177.22,73.39,1.53
08-03-2021,0.41,4.46,10.25,14.69,8.71,16.94,40.01,115.37,198.01,74.5,1.35
09-03-2021,0.48,4.43,10.23,14.67,8.71,10.54,100.51,103.57,204.57,67.88,1.93
10-03-2021,0.47,4.44,10.22,14.66,8.68,13.22,92.13,107.57,182.59,67.98,1.4
11-03-2021,0.52,4.44,10.2,14.69,8.74,14.06,16.66,146.4,175.96,69.25,1.37
12-03-2021,0.45,4.45,10.21,14.68,8.75,20.05,21.15,159.5,204.23,65.78,1.4
13-03-2021,0.47,4.43,10.22,14.7,8.7,16.4,22.63,141.03,180.85,71.04,1.26
14-03-2021,0.5,4.44,10.26,14.69,8.69,16.28,19.31,131.75,188.43,76.68,1.37
15-03-2021,0.46,4.46,10.25,14.69,8.65,13.98,16.54,140.44,220.61,74.06,1.46
16-03-2021,0.52,4.44,10.24,14.67,8.72,18.38,14.62,167.05,192.86,72.25,1.28
17-03-2021,0.54,4.45,10.25,14.64,8.69,15.72,15.56,175.58,155.89,68.31,1.23
18-03-2021,0.56,4.44,10.22,14.69,NaN,25.47,18.95,108.59,167.03,73.09,1.29
19-03-2021,0.6,2.77,6.16,8.92,NaN,48.31,16.36,140.07,201.16,70.67,1.13
20-03-2021,0.56,1.71,3.74,5.45,NaN,54.52,18.68,167.54,220.01,69.53,1.25
21-03-2021,0.57,1.72,3.75,5.47,NaN,41.58,9.73,137.03,176.81,71.03,1.15
22-03-2021,0.54,1.74,3.74,5.49,NaN,44.41,13.93,137.46,191.49,72.8,1.12
23-03-2021,0.58,1.76,3.74,5.5,NaN,62.47,22.1,97.76,212.14,72.23,1.2
24-03-2021,0.58,1.76,3.74,5.5,NaN,57.06,32.15,103.52,172.57,73.49,1.22
25-03-2021,0.59,1.69,3.73,5.43,NaN,105.51,11.68,141.85,211.67,71.73,1.31
26-03-2021,0.59,1.71,3.74,5.45,NaN,33.05,16.14,136.94,183.79,NaN,NaN
27-03-2021,0.54,1.73,3.74,5.48,2.49,23.73,18.51,161.49,175.4,NaN,NaN
